68,1,27.5,217,nil,3,2009-8-15,hook and line,1
69,1,30,280,nil,3,2009-8-15,hook and line,1
70,2,16,95,nil,3,2009-8-15,hook and line,1
71,7,nil,nil,nil,nil,nil,Tag fell out of fish,1
72,2,24,294,nil,3,2009-8-15,hook and line,1
72,2,23,254,nil,3,2009-9-15,nil,13
73,1,29.5,245,nil,3,2009-8-15,hook and line,1
74,1,30,293,nil,3,2009-8-15,hook and line,1
75,1,33,366,nil,3,2009-8-15,hook and line,1
76,1,29,283,nil,3,2009-8-15,hook and line,1
77,1,29,242,nil,3,2009-8-15,hook and line,1
78,1,30.5,269,nil,3,2009-8-15,hook and line,1
79,1,29,235,nil,3,2009-8-15,hook and line,1
80,1,29,265,nil,3,2009-8-15,hook and line,1
81,1,30,280,nil,3,2009-8-15,hook and line,1
82,1,30,275,nil,3,2009-8-15,hook and line,1
83,1,28,246,nil,3,2009-8-15,hook and line,1
84,1,29,251,nil,3,2009-8-15,hook and line,1
85,2,22.5,221,nil,3,2009-8-15,hook and line,1
86,1,29,266,nil,3,2009-8-15,hook and line,1
87,2,23,286,nil,3,2009-8-15,hook and line,1
87,2,21.4,242.3,nil,3,2009-9-14,nil,12
88,2,22,255,nil,3,2009-8-15,hook and line,1
89,1,30,318,nil,3,2009-8-15,hook and line,1
91,1,30.5,318,nil,3,2009-8-15,hook and line,1
92,2,17.5,122,nil,3,2009-8-15,hook and line,1
93,1,28,268,nil,3,2009-8-15,hook and line,1
94,2,22,232,nil,3,2009-8-15,hook and line,1
94,2,21.5,227.6,nil,3,2009-9-14,nil,12
95,1,29.5,262,nil,3,2009-8-15,hook and line,1
96,2,22,245,nil,3,2009-8-15,hook and line,1
97,2,22,245,nil,3,2009-8-15,hook and line,1
98,2,19,151,nil,3,2009-8-15,hook and line,1
99,2,18,136,nil,3,2009-8-15,hook and line,1
100,2,18,135,nil,3,2009-8-15,hook and line,1
101,1,28,207,nil,3,2009-8-15,hook and line,1
102,1,28.5,248,nil,3,2009-8-15,hook and line,1
103,1,30,278,nil,3,2009-8-15,hook and line,1
104,1,29.5,236,nil,3,2009-8-15,hook and line,1
105,1,30,235,nil,3,2009-8-15,hook and line,1
106,2,22,253,nil,3,2009-8-15,hook and line,1
107,7,nil,nil,nil,nil,nil,nil,nil
108,1,22.4,132.8,nil,3,2009-9-2,hook and line,15
108,1,22.9,121.8,nil,3,2009-9-15,nil,13
108,1,23,130,nil,3,2009-9-17,hook and line,11
109,1,18,74.8,nil,3,2009-9-2,hook and line,15
110,1,20.7,106.5,nil,4,2009-9-2,hook and line,15
111,7,nil,nil,nil,nil,nil,nil,nil
112,7,nil,nil,nil,nil,nil,nil,nil
113,1,29.1,148.2,nil,3,2009-9-2,hook and line,15
114,1,19.2,75.4,nil,3,2009-9-2,hook and line,15
115,7,nil,nil,nil,nil,nil,nil,nil
116,1,18.7,65.5,nil,C/D,2009-9-2,hook and line,15
117,7,nil,nil,nil,nil,nil,nil,nil
118,1,18.1,65.7,nil,C/D,2009-9-2,hook and line,15
119,2,21.2,268.1,nil,3,2009-9-2,hook and line,15
119,2,21.3,216,nil,3,2010-9-21,hook and line,16
120,2,21.1,206,nil,3,2009-9-14,nil,14
121,2,21.7,244,nil,3,2009-9-14,nil,14
122,2,17.3,142.3,nil,3,2009-9-14,nil,12
123,2,15.3,70.9,nil,5,2009-9-14,nil,12
124,2,15.4,77,nil,5,2009-9-14,nil,12
125,1,38,590.5,nil,C/D,2009-9-14,nil,12
126,1,29,248,nil,3,2009-9-15,nil,13
127,7,nil,nil,nil,nil,nil,nil,nil
128,1,30.3,283,nil,3,2009-9-15,nil,13
129,7,nil,nil,nil,nil,nil,nil,nil
130,2,21.7,245.4,nil,3,2009-9-15,nil,13
131,2,22.1,221.6,nil,3,2009-9-15,nil,13
132,2,17.8,119,nil,3,2009-9-15,nil,13
133,2,22.3,222.8,nil,3,2009-9-15,nil,13
134,2,22,238.7,nil,3,2009-9-15,nil,13
135,4,18,120.8,nil,2,2009-9-15,nil,10
136,4,19,118.2,nil,2,2009-9-15,nil,10
137,4,17.5,85.3,nil,2,2009-9-15,nil,10
138,7,nil,nil,nil,nil,nil,nil,nil
139,7,nil,nil,nil,nil,nil,nil,nil
140,2,19.7,161,nil,2,2009-9-15,nil,10
141,2,17.5,83.4,nil,2,2009-9-15,nil,10
142,6,17,79.2,nil,2,2009-9-15,nil,10
143,4,12.5,80.4,nil,2,2009-9-15,nil,10
144,2,17,75,nil,2,2009-9-15,nil,10
145,2,20,156.4,nil,1,2009-9-15,nil,10
146,4,17,97,nil,1,2009-9-15,nil,10
147,4,20.5,133,nil,2,2009-9-15,nil,10
148,2,20,134,nil,2,2009-9-15,nil,10
149,2,17,79.6,nil,2,2009-9-15,nil,10
150,4,18,89.4,nil,2,2009-9-15,nil,10
152,1,18,67.3,nil,3,2009-9-17,nil,11
153,2,18,119.6,nil,3,2009-9-17,nil,11
161,7,nil,nil,nil,nil,nil,Tag fell out of fish,16
162,7,nil,nil,nil,nil,nil,Tag fell out of fish,16
163,7,nil,nil,nil,nil,nil,Tag fell out of fish,16
164,7,nil,nil,nil,nil,nil,Tag fell out of fish,16
165,4,22,268.5,nil,3,2010-9-21,hook and line,16
166,7,nil,nil,nil,nil,nil,Tag fell out of fish,16
167,1,29,290.5,nil,3,2010-9-21,hook and line,16
168,7,nil,nil,nil,nil,nil,Tag fell out of fish,16
169,1,23.6,162.1,nil,3,2010-9-21,hook and line,16
170,4,18.5,143,nil,4,2010-9-21,hook and line,16
171,7,nil,nil,nil,nil,nil,Tag fell out of fish,16
172,8,18.6,164.5,nil,3,2010-9-21,hook and line,16
173,7,nil,nil,nil,nil,nil,Tag fell out of fish,16
174,2,22.1,189.5,nil,3,2010-9-21,hook and line,16
175,2,16.1,85.3,nil,3,2010-9-21,hook and line,16
